AoA,CL,CD
-180,0,0.073674
-178.571429,0.05349,0.074453
-177.142857,0.10698,0.076788
-175.714286,0.16047,0.080672
-174.285714,0.21396,0.086097
-172.857143,0.267449,0.093047
-171.428571,0.320939,0.101507
-170,0.374429,0.111453
-168.571429,0.427919,0.122861
-167.142857,0.481409,0.135702
-165.714286,0.534899,0.149943
-164.285714,0.588389,0.165548
-162.857143,0.641879,0.182477
-161.428571,0.695368,0.200687
-160,0.748858,0.220132
-155,0.691136,0.297173
-150,0.657477,0.386304
-145,0.632092,0.484747
-140,0.606819,0.589434
-135,0.577114,0.697095
-130,0.540456,0.80436
-125,0.495617,0.907861
-120,0.442292,1.004337
-115,0.380877,1.090734
-110,0.312333,1.164297
-105,0.23807,1.222655
-100,0.159861,1.263895
-95,0.079757,1.286622
-90,0,1.29
-85,-0.079757,1.286622
-80,-0.159861,1.263895
-75,-0.23807,1.222655
-70,-0.312333,1.164297
-65,-0.380877,1.090734
-60,-0.442292,1.004337
-55,-0.495617,0.907861
-50,-0.540456,0.80436
-45,-0.577114,0.697095
-40,-0.606819,0.589434
-35,-0.632092,0.484747
-30,-0.657477,0.386304
-25,-0.691136,0.297173
-20,-0.748858,0.220132
-18.571429,-0.662907,0.207303
-17.142857,-0.576956,0.194473
-15.714286,-0.491005,0.181644
-14.285714,-0.405054,0.168814
-12.857143,-0.319103,0.155985
-11.428571,-0.233152,0.143155
-10,-0.147201,0.130326
-8.571429,-0.06125,0.117497
-7.142857,0.024701,0.104667
-5.714286,0.110652,0.091838
-4.285714,0.196603,0.079008
-2.857143,0.282554,0.066179
0,0.454456,0.04052
2,0.634852,0.043961
4,0.803126,0.048992
6,0.944861,0.056379
8,1.040721,0.06691
10,1.12202,0.081267
12,1.144188,0.099908
14,1.153524,0.12098
16,1.143242,0.149183
18,1.111384,0.181208
20,1.069798,0.220132
25,0.987337,0.297173
30,0.939253,0.386304
35,0.902989,0.484747
40,0.866884,0.589434
45,0.824448,0.697095
50,0.772079,0.80436
55,0.708025,0.907861
60,0.631846,1.004337
65,0.544111,1.090734
70,0.44619,1.164297
75,0.3401,1.222655
80,0.228373,1.263895
85,0.113938,1.286622
90,0,1.29
95,-0.079757,1.286622
100,-0.159861,1.263895
105,-0.23807,1.222655
110,-0.312333,1.164297
115,-0.380877,1.090734
120,-0.442292,1.004337
125,-0.495617,0.907861
130,-0.540456,0.80436
135,-0.577114,0.697095
140,-0.606819,0.589434
145,-0.632092,0.484747
150,-0.657477,0.386304
155,-0.691136,0.297173
160,-0.748858,0.220132
161.428571,-0.695368,0.200687
162.857143,-0.641879,0.182477
164.285714,-0.588389,0.165548
165.714286,-0.534899,0.149943
167.142857,-0.481409,0.135702
168.571429,-0.427919,0.122861
170,-0.374429,0.111453
171.428571,-0.320939,0.101507
172.857143,-0.267449,0.093047
174.285714,-0.21396,0.086097
175.714286,-0.16047,0.080672
177.142857,-0.10698,0.076788
178.571429,-0.05349,0.074453
180,0,0.073674
