Angle-of-attack-[°],Coefficient-of-lift-[-],Coefficient-of-drag-[-]
-180,0,0.09099
-178.571429,0.051915,0.091763
-177.142857,0.103829,0.094082
-175.714286,0.155744,0.09794
-174.285714,0.207659,0.103327
-172.857143,0.259573,0.110229
-171.428571,0.311488,0.118629
-170,0.363403,0.128506
-168.571429,0.415317,0.139834
-167.142857,0.467232,0.152584
-165.714286,0.519146,0.166723
-164.285714,0.571061,0.182217
-162.857143,0.622976,0.199024
-161.428571,0.67489,0.217101
-160,0.726805,0.236404
-155,0.674534,0.312867
-150,0.644664,0.4013
-145,0.622099,0.498932
-140,0.599021,0.602699
-135,0.571074,0.70934
-130,0.535848,0.81549
-125,0.492187,0.917793
-120,0.439826,1.012995
-115,0.379194,1.098052
-110,0.311269,1.170219
-105,0.237477,1.227136
-100,0.1596,1.266902
-95,0.079692,1.288131
-90,0,1.29
-85,-0.079692,1.288131
-80,-0.1596,1.266902
-75,-0.237477,1.227136
-70,-0.311269,1.170219
-65,-0.379194,1.098052
-60,-0.439826,1.012995
-55,-0.492187,0.917793
-50,-0.535848,0.81549
-45,-0.571074,0.70934
-40,-0.599021,0.602699
-35,-0.622099,0.498932
-30,-0.644664,0.4013
-25,-0.674534,0.312867
-20,-0.726805,0.236404
-18.571429,-0.640384,0.222185
-17.142857,-0.553963,0.207966
-15.714286,-0.467542,0.193748
-14.285714,-0.38112,0.179529
-12.857143,-0.294699,0.16531
-11.428571,-0.208278,0.151091
-10,-0.121857,0.136873
-8.571429,-0.035436,0.122654
-7.142857,0.050985,0.108435
-5.714286,0.137407,0.094216
-4.285714,0.223828,0.079998
-2.857143,0.310249,0.065779
0,0.483091,0.037341
2,0.674271,0.040326
4,0.84977,0.044758
6,0.996049,0.051653
8,1.117131,0.06125
10,1.197091,0.075119
12,1.227329,0.093996
14,1.226223,0.118006
16,1.18991,0.148472
18,1.117115,0.189201
20,1.038293,0.236404
25,0.96362,0.312867
30,0.920949,0.4013
35,0.888713,0.498932
40,0.855744,0.602699
45,0.815819,0.70934
50,0.765498,0.81549
55,0.703124,0.917793
60,0.628323,1.012995
65,0.541706,1.098052
70,0.444671,1.170219
75,0.339253,1.227136
80,0.228,1.266902
85,0.113845,1.288131
90,0,1.29
95,-0.079692,1.288131
100,-0.1596,1.266902
105,-0.237477,1.227136
110,-0.311269,1.170219
115,-0.379194,1.098052
120,-0.439826,1.012995
125,-0.492187,0.917793
130,-0.535848,0.81549
135,-0.571074,0.70934
140,-0.599021,0.602699
145,-0.622099,0.498932
150,-0.644664,0.4013
155,-0.674534,0.312867
160,-0.726805,0.236404
161.428571,-0.67489,0.217101
162.857143,-0.622976,0.199024
164.285714,-0.571061,0.182217
165.714286,-0.519146,0.166723
167.142857,-0.467232,0.152584
168.571429,-0.415317,0.139834
170,-0.363403,0.128506
171.428571,-0.311488,0.118629
172.857143,-0.259573,0.110229
174.285714,-0.207659,0.103327
175.714286,-0.155744,0.09794
177.142857,-0.103829,0.094082
178.571429,-0.051915,0.091763
180,0,0.09099
