TSR,Cp,Ct,Omega
1,0.0215,0.1443,4.6667
1.25,0.0328,0.162,5.8333
1.5,0.0483,0.1855,7
1.75,0.0689,0.2162,8.1667
2,0.0963,0.2564,9.3333
2.25,0.1365,0.3102,10.5
2.5,0.1927,0.3813,11.6667
2.75,0.2457,0.4473,12.8333
3,0.2876,0.512,14
3.25,0.3203,0.5666,15.1667
3.5,0.3408,0.6172,16.3333
3.75,0.3445,0.6634,17.5
4,0.3477,0.6966,18.6667
4.25,0.3434,0.7211,19.8333
4.5,0.3366,0.7432,21
4.75,0.3248,0.761,22.1667
5,0.3099,0.7762,23.3333
5.25,0.2917,0.7896,24.5
5.5,0.2697,0.8002,25.6667
5.75,0.2446,0.8087,26.8333
6,0.2163,0.8158,28
6.25,0.1691,0.8204,29.1667
6.5,0.1162,0.8275,30.3333
6.75,0.0462,0.8333,31.5
